"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:04:14    ","00:04:14    ","1","3","3","00:04:14    ","00:04:12    ","00:03:46    ","90","96","132","105","160","25","18"
"2","00:04:10    ","00:04:10    ","1","6","0","00:04:11    ","00:04:15    ","00:04:09    ","90","91","131","179","185","24","45"
"3","00:04:07    ","00:04:07    ","1","3","6","00:04:08    ","00:04:09    ","00:04:05    ","91","93","133","182","187","24","47"
"4","00:04:04    ","00:04:04    ","1","0","0","00:04:04    ","00:04:06    ","00:04:00    ","92","95","132","183","188","25","47"
"5","00:04:03    ","00:04:03    ","1","2","0","00:04:03    ","00:04:05    ","00:03:55    ","92","94","133","183","188","25","47"
"6","00:04:02    ","00:04:02    ","1","0","2","00:04:02    ","00:04:03    ","00:03:59    ","91","93","135","185","190","25","48"
"7","00:03:59    ","00:03:59    ","1","5","0","00:03:59    ","00:04:02    ","00:03:58    ","91","93","136","188","191","25","49"
"8","00:03:54    ","00:03:54    ","1","2","3","00:03:55    ","00:03:56    ","00:03:50    ","91","93","139","189","190","25","49"
"9","00:04:02    ","00:04:02    ","1","2","2","00:04:03    ","00:04:03    ","00:03:54    ","91","93","136","188","190","25","49"
"10","00:04:07    ","00:04:07    ","1","5","3","00:04:07    ","00:04:08    ","00:03:45    ","91","108","134","187","190","25","49"
"11","00:04:02    ","00:04:02    ","1","0","0","00:04:03    ","00:04:05    ","00:04:01    ","90","94","136","188","191","25","49"
"12","00:04:01    ","00:04:01    ","1","2","0","00:04:01    ","00:04:04    ","00:04:00    ","91","93","135","189","191","25","49"
"13","00:03:59    ","00:03:59    ","1","2","2","00:04:00    ","00:04:01    ","00:03:55    ","90","92","138","190","192","25","50"
"14","00:03:50    ","00:03:50    ","1","0","2","00:03:51    ","00:03:54    ","00:03:49    ","91","93","141","192","194","25","50"
"15","00:03:52    ","00:03:52    ","1","0","0","00:03:52    ","00:03:53    ","00:03:51    ","92","93","140","193","195","25","51"
"16","00:01:58    ","00:01:58    ","0.52","0","0","00:03:49    ","00:03:55    ","00:03:36    ","92","94","139","193","195","25","25"
"Summary","01:02:31    ","01:02:31    ","15.52","32","23","00:04:02    ","00:04:03    ","00:03:36    ","91","108","135","181","195","25","723"
