"Split","Time","Moving Time","Distance","Elevation Gain","Elev Loss","Avg Pace","Avg Moving Pace","Best Pace","Avg Run Cadence","Max Run Cadence","Avg Stride Length","Avg HR","Max HR","Avg Temperature","Calories"
"1","00:05:49    ","00:05:49    ","1","0","0","00:05:50    ","00:05:48    ","00:05:14    ","89","93","97","152","169","27","64"
"2","00:05:51    ","00:05:51    ","1","0","0","00:05:52    ","00:05:52    ","00:05:42    ","89","91","96","169","174","24","86"
"3","00:05:56    ","00:05:56    ","1","0","0","00:05:57    ","00:05:52    ","00:05:25    ","89","92","96","168","178","24","84"
"4","00:05:48    ","00:05:48    ","1","0","0","00:05:49    ","00:05:50    ","00:05:38    ","89","91","96","169","174","23","86"
"5","00:05:43    ","00:05:43    ","1","0","0","00:05:44    ","00:05:45    ","00:05:31    ","89","91","98","171","179","22","73"
"6","00:05:39    ","00:05:39    ","1","0","0","00:05:40    ","00:05:43    ","00:05:09    ","89","95","99","172","181","21","87"
"7","00:05:44    ","00:05:44    ","1","0","0","00:05:45    ","00:05:47    ","00:05:39    ","88","90","98","171","174","21","87"
"8","00:05:52    ","00:05:52    ","1","0","0","00:05:52    ","00:05:51    ","00:05:41    ","88","89","97","169","172","21","86"
"9","00:05:41    ","00:05:41    ","1","0","0","00:05:41    ","00:05:45    ","00:05:33    ","88","90","98","171","176","21","73"
"10","00:05:38    ","00:05:38    ","1","0","0","00:05:38    ","00:05:40    ","00:05:23    ","89","91","99","173","178","20","88"
"11","00:05:29    ","00:05:29    ","1","0","0","00:05:29    ","00:05:32    ","00:05:25    ","89","91","101","175","180","20","75"
"12","00:05:26    ","00:05:26    ","1","0","0","00:05:26    ","00:05:26    ","00:05:14    ","90","93","103","177","183","20","91"
"13","00:05:12    ","00:05:12    ","1","0","0","00:05:12    ","00:05:18    ","00:04:56    ","90","93","105","179","188","20","77"
"14","00:04:58    ","00:04:58    ","1","0","0","00:04:59    ","00:05:00    ","00:04:53    ","91","93","110","182","186","20","79"
"15","00:04:34    ","00:04:34    ","1","0","0","00:04:35    ","00:04:46    ","00:02:41    ","93","125","113","182","189","20","79"
"16","00:00:22    ","00:00:22    ","0.05","0","0","00:08:30    ","00:04:24    ","00:02:55    ","78","109","117","185","190","20","0"
"Summary","01:23:51    ","01:23:51    ","15.05","7","4","00:05:34    ","00:05:36    ","00:02:41    ","89","125","100","172","190","22","1216"
